iteration,step,reward,is_terminated
0,0,0,False
0,1,0,False
0,2,0,False
0,3,0,False
0,4,0,False
0,5,0,False
0,6,0,False
0,7,0,False
0,8,0,False
0,9,0,False
0,10,0,False
0,11,0,False
0,12,0,False
0,13,0,False
0,14,0,False
0,15,0,False
0,16,0,False
0,17,0,False
0,18,0,False
0,19,0,False
0,20,0,False
0,21,0,False
0,22,0,False
0,23,0,False
0,24,0,False
0,25,0,False
0,26,0,False
0,27,0,False
0,28,0,False
0,29,0,False
0,30,0,False
0,31,0,False
0,32,0,False
0,33,0,False
0,34,0,False
0,35,0,False
0,36,0,False
0,37,0,False
0,38,0,False
0,39,0,False
0,40,0,False
0,41,0,False
0,42,0,False
0,43,0,False
0,44,0,False
0,45,0,False
0,46,0,False
0,47,0,False
0,48,0,False
0,49,0,False
0,50,0,False
0,51,0,False
0,52,0,False
0,53,0,False
0,54,0,False
0,55,0,False
0,56,0,False
0,57,0,False
0,58,0,False
0,59,0,False
0,60,0,False
0,61,0,False
0,62,0,False
0,63,0,False
1,0,0,False
1,1,0,False
1,2,0,False
1,3,0,False
1,4,0,False
1,5,0,False
1,6,0,False
1,7,0,False
1,8,0,False
1,9,0,False
1,10,0,False
1,11,0,False
1,12,0,False
1,13,1,True
2,0,0,False
2,1,0,False
2,2,0,False
2,3,0,False
2,4,0,False
2,5,0,False
2,6,0,False
2,7,0,False
2,8,0,False
2,9,0,False
2,10,0,False
2,11,0,False
2,12,0,False
2,13,1,True
3,0,0,False
3,1,0,False
3,2,0,False
3,3,0,False
3,4,0,False
3,5,0,False
3,6,0,False
3,7,0,False
3,8,0,False
3,9,0,False
3,10,0,False
3,11,0,False
3,12,0,False
3,13,1,True
4,0,0,False
4,1,0,False
4,2,0,False
4,3,0,False
4,4,0,False
4,5,0,False
4,6,0,False
4,7,0,False
4,8,0,False
4,9,0,False
4,10,0,False
4,11,0,False
4,12,0,False
4,13,1,True
5,0,0,False
5,1,0,False
5,2,0,False
5,3,0,False
5,4,0,False
5,5,0,False
5,6,0,False
5,7,0,False
5,8,0,False
5,9,0,False
5,10,0,False
5,11,0,False
5,12,0,False
5,13,1,True
6,0,0,False
6,1,0,False
6,2,0,False
6,3,0,False
6,4,0,False
6,5,0,False
6,6,0,False
6,7,0,False
6,8,0,False
6,9,0,False
6,10,0,False
6,11,0,False
6,12,0,False
6,13,1,True
7,0,0,False
7,1,0,False
7,2,0,False
7,3,0,False
7,4,0,False
7,5,0,False
7,6,0,False
7,7,0,False
7,8,0,False
7,9,0,False
7,10,0,False
7,11,0,False
7,12,0,False
7,13,0,False
7,14,0,False
7,15,0,False
7,16,0,False
7,17,0,False
7,18,0,False
7,19,1,True
8,0,0,False
8,1,0,False
8,2,0,False
8,3,0,False
8,4,0,False
8,5,0,False
8,6,0,False
8,7,0,False
8,8,0,False
8,9,0,False
8,10,0,False
8,11,0,False
8,12,0,False
8,13,0,False
8,14,0,False
8,15,0,False
8,16,0,False
8,17,0,False
8,18,0,False
8,19,0,False
8,20,0,False
8,21,0,False
8,22,0,False
8,23,0,False
8,24,0,False
8,25,0,False
8,26,0,False
8,27,0,False
8,28,0,False
8,29,0,False
8,30,0,False
8,31,0,False
8,32,0,False
8,33,0,False
8,34,0,False
8,35,0,False
8,36,0,False
8,37,0,False
8,38,0,False
8,39,0,False
8,40,0,False
8,41,0,False
8,42,0,False
8,43,0,False
8,44,0,False
8,45,0,False
8,46,0,False
8,47,0,False
8,48,0,False
8,49,0,False
8,50,0,False
8,51,0,False
8,52,0,False
8,53,0,False
8,54,0,False
8,55,0,False
8,56,0,False
8,57,0,False
8,58,0,False
8,59,0,False
8,60,0,False
8,61,0,False
8,62,0,False
8,63,0,False
9,0,0,False
9,1,0,False
9,2,0,False
9,3,0,False
9,4,0,False
9,5,0,False
9,6,0,False
9,7,0,False
9,8,0,False
9,9,0,False
9,10,0,False
9,11,0,False
9,12,0,False
9,13,1,True
